,Time,Wavelength,PowerFringe_dB,RawFringe,PowerEnvelope,MZI_Freq,SpecMin,SpecMax
0,0.0,1110.9689822207786,-21.370721390446292,-0.0008033913759822051,-0.004965216000000439,-30.872462468608155,25,50
1,1e-09,1110.9816836877785,-21.407233806769717,-0.003064740702919847,-0.005755572000000431,-30.872464859165557,25,50
2,2e-09,1110.9943854461899,-21.443267453833947,-0.007038708364746717,-0.008390092000000404,-30.872467227005775,25,50
3,3.0000000000000004e-09,1111.0070874960134,-21.478815915730966,-0.0067978194437283805,-0.008126640000000407,-30.87246956936664,25,50
4,4e-09,1111.0197898372485,-21.513872948182208,-0.004713298576976431,-0.007336284000000415,-30.872471886249365,25,50
5,5e-09,1111.0324924698948,-21.548432487367148,-0.006844672360760496,-0.00786318800000041,-30.872474180970745,25,50
6,6.000000000000001e-09,1111.0451953939532,-21.582488658670197,-0.0076595997742480645,-0.012341872000000365,-30.87247645076877,25,50
7,7.000000000000001e-09,1111.0578986094235,-21.61603578532478,-0.00952925956100813,-0.014976392000000338,-30.87247869509203,25,50
8,8e-09,1111.0706021163053,-21.6490683969335,-0.008501982728022299,-0.013132228000000357,-30.87248091615198,25,50
9,9.000000000000001e-09,1111.083305914599,-21.68158123784305,-0.004446122463068744,-0.011024612000000378,-30.872483112291974,25,50
10,1e-08,1111.0960100043042,-21.713569275352498,-0.002630763751209966,-0.008390092000000404,-30.872485284065725,25,50
11,1.1000000000000001e-08,1111.108714385421,-21.745027707733566,-0.0021338757898070717,-0.012078420000000367,-30.872487431474337,25,50
12,1.2000000000000002e-08,1111.1214190579497,-21.775951972041753,0.00033764065939590626,-0.01181496800000037,-30.872489555071418,25,50
13,1.3e-08,1111.13412402189,-21.806337751697292,0.0025444132615306094,-0.004438312000000444,-30.872491653753038,25,50
14,1.4000000000000001e-08,1111.1468292772422,-21.836180983815186,-0.00038744241697108884,-0.008390092000000404,-30.87249372807286,25,50
15,1.5000000000000002e-08,1111.159534824006,-21.86547786626422,-0.0035841178297897217,-0.013922584000000349,-30.87249577858447,25,50
16,1.6e-08,1111.1722406621816,-21.89422486443503,-0.006518747306914521,-0.011288064000000375,-30.87249780418398,25,50
17,1.7e-08,1111.1849467917689,-21.922418717698164,-0.004976140546426953,-0.003911408000000449,-30.87249980542502,25,50
18,1.8000000000000002e-08,1111.1976532127678,-21.95005644553362,-0.0018542781638399275,-0.003121052000000457,-30.872501782308706,25,50
19,1.9e-08,1111.2103599251784,-21.97713535331427,-0.0005780329200418229,-0.012341872000000365,-30.872503735388545,25,50
20,2e-08,1111.2230669290009,-22.003653037726263,0.002804361652828474,-0.013395680000000354,-30.87250566300839,25,50
21,2.1000000000000003e-08,1111.2357742242348,-22.02960739181064,0.001443173308823498,-0.010234256000000386,-30.872507567931436,25,50
22,2.2000000000000002e-08,1111.2484818108808,-22.054996609611386,-0.00018293137002253453,-0.01286877600000036,-30.872509446844337,25,50
23,2.3e-08,1111.2611896889382,-22.07981919041619,-0.0008884284869276907,-0.01682055600000032,-30.872511302510205,25,50
24,2.4000000000000003e-08,1111.2738978584075,-22.1040739425775,-0.004229915698909136,-0.01761091200000031,-30.87251313327297,25,50
25,2.5000000000000002e-08,1111.2866063192885,-22.12775998690268,-0.001776957521429945,-0.016293652000000325,-30.872514939686155,25,50
26,2.6e-08,1111.299315071581,-22.15087675960332,0.00014761980987821862,-0.0186647200000003,-30.87251672230321,25,50
27,2.7e-08,1111.3120241152856,-22.173424014795277,-0.0003003352602508211,-0.017084008000000317,-30.87251848002052,25,50
28,2.8000000000000003e-08,1111.3247334504017,-22.19540182654236,0.0012261304967661135,-0.013659132000000351,-30.872520212839284,25,50
29,2.9e-08,1111.3374430769293,-22.216810590438026,0.00011662920076030122,-0.01286877600000036,-30.87252192296982,25,50
30,3.0000000000000004e-08,1111.350152994869,-22.237651024721004,-0.0007308687456891727,-0.008653544000000402,-30.8725236070994,25,50
31,3.1e-08,1111.36286320422,-22.257924170922298,0.0009229785582155572,-0.004438312000000444,-30.87252526799064,25,50
32,3.2e-08,1111.375573704983,-22.277631394042466,-0.0008494742094929334,-0.004965216000000439,-30.87252690398778,25,50
33,3.3000000000000004e-08,1111.3882844971577,-22.29677438225974,-0.0009109217311225583,-0.008126640000000407,-30.872528515644213,25,50
34,3.4e-08,1111.400995580744,-22.315355146170983,0.0010020948366825386,-0.007599736000000412,-30.872530103513284,25,50
35,3.5e-08,1111.413706955742,-22.333376017569098,-0.0019601471677211735,-0.005228668000000436,-30.872531666491625,25,50
36,3.6000000000000005e-08,1111.426418622152,-22.35083964776201,-0.004660339137934967,-0.005228668000000436,-30.872533205132605,25,50
37,3.7e-08,1111.4391305799734,-22.367749005439734,-0.0019611680221970577,-0.008390092000000404,-30.87253471943732,25,50
38,3.8e-08,1111.4518428292065,-22.384107374097635,0.0010000887569550417,-0.009970804000000388,-30.87253620995908,25,50
39,3.9000000000000005e-08,1111.4645553698515,-22.39991834902533,0.0027744744645463483,-0.008653544000000402,-30.872537676146766,25,50
40,4e-08,1111.4772682019084,-22.41518583387201,0.00349373833719985,-0.01181496800000037,-30.872539116345028,25,50
41,4.1e-08,1111.4899813253764,-22.429914036800326,0.005397233430670122,-0.014186036000000346,-30.872540534420114,25,50
42,4.2000000000000006e-08,1111.5026947402566,-22.44410746624223,0.00624563315104415,-0.01787436400000031,-30.87254192706018,25,50
43,4.3e-08,1111.5154084465485,-22.457770926271255,0.0014285386296384835,-0.019191624000000296,-30.87254329537064,25,50
44,4.4000000000000004e-08,1111.528122444252,-22.470909511606905,-0.002599508577370594,-0.015503296000000333,-30.872544639904735,25,50
45,4.5000000000000006e-08,1111.5408367333673,-22.483528602267807,8.912633559167698e-05,-0.016293652000000325,-30.872545959007237,25,50
46,4.6e-08,1111.553551313894,-22.49563385789118,-0.0009118955890551168,-0.014449488000000343,-30.87254725488769,25,50
47,4.7000000000000004e-08,1111.5662661858328,-22.50723121173713,-0.0038901556827458782,-0.008916996000000399,-30.872548525890885,25,50
48,4.8000000000000006e-08,1111.578981349183,-22.518326864396897,0.0010337553014270633,-0.006282476000000425,-30.872549772570043,25,50
49,4.9e-08,1111.591696803945,-22.528927277224973,0.0035852327235938422,-0.006019024000000428,-30.872550995478317,25,50
50,5.0000000000000004e-08,1111.604412550119,-22.539039165515426,0.00099803037393065,-0.007336284000000415,-30.872552193512707,25,50
51,5.1e-08,1111.6171285877044,-22.548669491443484,-0.001854016786830547,-0.005492120000000433,-30.87255336722641,25,50
52,5.2e-08,1111.6298449167016,-22.557825456793598,-0.004180568881403501,-0.006282476000000425,-30.872554517172507,25,50
53,5.3000000000000005e-08,1111.6425615371106,-22.566514495495518,-0.0029519473053436864,-0.00680938000000042,-30.872555641696117,25,50
54,5.4e-08,1111.655278448931,-22.57474426599024,0.0005145882461038674,-0.004965216000000439,-30.872556743558334,25,50
55,5.5e-08,1111.6679956521637,-22.582522643447685,-0.0018162220471079934,-0.0041748600000004465,-30.872557819448318,25,50
56,5.6000000000000005e-08,1111.6807131468076,-22.589857711857967,-0.005860878851706398,-0.0028576000000004598,-30.87255887157514,25,50
57,5.7e-08,1111.6934309328633,-22.59675775601813,-0.002003401978161446,0.0008307279999999473,-30.872559899939862,25,50
58,5.8e-08,1111.7061490103308,-22.603231253435926,8.53314577327238e-06,0.001357631999999942,-30.872560903991634,25,50
59,5.9000000000000006e-08,1111.7188673792102,-22.60928686617218,0.0030729138830811187,-0.003911408000000449,-30.872561882627714,25,50
60,6.000000000000001e-08,1111.731586039501,-22.614933432642765,0.005213879837429035,-0.009707352000000391,-30.87256283750504,25,50
61,6.1e-08,1111.7443049912035,-22.62017995940092,0.0026114061465201577,-0.009180448000000396,-30.87256376862466,25,50
62,6.2e-08,1111.757024234318,-22.62503561292027,0.00027107490011230896,-0.005492120000000433,-30.872564674883876,25,50
63,6.300000000000001e-08,1111.769743768844,-22.629509711398214,-0.0029926407367506613,-0.007599736000000412,-30.872565557387595,25,50
64,6.4e-08,1111.7824635947818,-22.63361171659895,-0.0027010671961286755,-0.007599736000000412,-30.872566414481312,25,50
65,6.5e-08,1111.7951837121311,-22.637351225754664,-0.002805965076700374,-0.00786318800000041,-30.872567248925428,25,50
66,6.600000000000001e-08,1111.8079041208925,-22.64073796354287,-0.006073557710969917,-0.008916996000000399,-30.872568057409964,25,50
67,6.7e-08,1111.8206248210654,-22.64378177415697,-0.0011754207097526177,-0.009970804000000388,-30.872568842143423,25,50
68,6.8e-08,1111.83334581265,-22.646492613486664,-0.0007571804042825425,-0.012341872000000365,-30.872569603126855,25,50
